value_en	description_en	codesystem	code	description_code
Genetic risk factors in Familial Hypercholesterolemia	Genetic risk factors in Familial Hypercholesterolemia	bbmri-eric	bbmri-eric:ID:NL_AAAACXS4EZXBQACQK2MBZ5YAAE	Genetic risk factors in Familial Hypercholesterolemia
Genetics, Arthrosis and Progression Biobank	Genetics, Arthrosis and Progression Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPATMOWYACQK2ME25QAAM	Genetics, Arthrosis and Progression Biobank
GenoMEL Biobank	GenoMEL Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPKTCIZGACQK2ME25QAAM	GenoMEL Biobank
Ghana Study Biobank	Ghana Study Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPJYUZMIACQK2ME25QAAI	Ghana Study Biobank
Healthy LIfe in an Urban Setting Biobank	Healthy LIfe in an Urban Setting Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPF2EYBEACQK2ME25QAAM	Healthy LIfe in an Urban Setting Biobank
Hemochromatosis family study biobank	Hemochromatosis family study biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPAPKLICACQK2ME25QAAE	Hemochromatosis family study biobank
HIV Host genetics cohort Biobank	HIV Host genetics cohort Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPFWJPCYACQK2ME25QAAE	HIV Host genetics cohort Biobank
Hoofd-halskanker Biobank	Hoofd-halskanker Biobank	bbmri-eric	bbmri-eric:ID:NL_aaaac2dvrk2baacqk2mpm4yaai	Hoofd-halskanker Biobank
Hoorn Study Biobank	Hoorn Study Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPK6TQCOACQK2ME25QAAE	Hoorn Study Biobank
Hyperlipidemia Biobank	Hyperlipidemia Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXTCGNZLWACQK2MBZ5YAAE	Hyperlipidemia Biobank
ID1000 Biobank	ID1000 Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPJZNKPOACQK2ME25QAAE	ID1000 Biobank
Inflammatory Bowel Disease Zuid Limburg Biobank	Inflammatory Bowel Disease Zuid Limburg Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPFVEJHAACQK2ME25QAAE	Inflammatory Bowel Disease Zuid Limburg Biobank
KNOOPGenetic and Asthma together	KNOOPGenetic and Asthma together	bbmri-eric	bbmri-eric:ID:NL_AAAACXPAWIJHOACQK2ME25QAAE	KNOOPGenetic and Asthma together
LASA Biobank	LASA Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPRCP2M6ACQK2ME25QAAE	LASA Biobank
Leiden University Medical Center Biobank	Leiden University Medical Center Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXJQEK6I4ACQK2ME25QAAE	Leiden University Medical Center Biobank
