value_en	description_en	codesystem	code	description_code
Bosnia - Herzegovnia 	Bosnia - Herzegovnia 	snomedCT	SNOMEDCT:315387000	Residing in Bosnia - Herzegovnia (finding)
Cyprus 	Cyprus 	snomedCT	SNOMEDCT:315411008	Residing in Cyprus (finding)
Seychelles 	Seychelles 	snomedCT	SNOMEDCT:315517009	Residing in Seychelles (finding)
Antigua and Barbuda 	Antigua and Barbuda 	snomedCT	SNOMEDCT:315370002	Residing in Antigua and Barbuda (finding)
Kyrgyzstan 	Kyrgyzstan 	snomedCT	SNOMEDCT:315460003	Residing in Kyrgyzstan (finding)
Madagascar 	Madagascar 	snomedCT	SNOMEDCT:315470001	Residing in Madagascar (finding)
Columbia 	Columbia 	snomedCT	SNOMEDCT:315405005	Residing in Columbia (finding)
Nauru 	Nauru 	snomedCT	SNOMEDCT:315486008	Residing in Nauru (finding)
Uganda 	Uganda 	snomedCT	SNOMEDCT:315551008	Residing in Uganda (finding)
Sierra Leone 	Sierra Leone 	snomedCT	SNOMEDCT:315518004	Residing in Sierra Leone (finding)
Chile 	Chile 	snomedCT	SNOMEDCT:315403003	Residing in Chile (finding)
Gabon 	Gabon 	snomedCT	SNOMEDCT:315428006	Residing in Gabon (finding)
Norway 	Norway 	snomedCT	SNOMEDCT:315494001	Residing in Norway (finding)
St. Vincent 	St. Vincent 	snomedCT	SNOMEDCT:315530005	Residing in St. Vincent (finding)
Kazakhstan 	Kazakhstan 	snomedCT	SNOMEDCT:315455002	Residing in Kazakhstan (finding)
Grenada 	Grenada 	snomedCT	SNOMEDCT:315434004	Residing in Grenada (finding)
Costa Rica 	Costa Rica 	snomedCT	SNOMEDCT:315408007	Residing in Costa Rica (finding)
Nicaragua 	Nicaragua 	snomedCT	SNOMEDCT:315489001	Residing in Nicaragua (finding)
El Salvador 	El Salvador 	snomedCT	SNOMEDCT:315420004	Residing in El Salvador (finding)
Egypt 	Egypt 	snomedCT	SNOMEDCT:315419005	Residing in Egypt (finding)
Cameroon 	Cameroon 	snomedCT	SNOMEDCT:315397009	Residing in Cameroon (finding)
Somalia 	Somalia 	snomedCT	SNOMEDCT:315523004	Residing in Somalia (finding)
Honduras 	Honduras 	snomedCT	SNOMEDCT:315440006	Residing in Honduras (finding)
Zaire 	Zaire 	snomedCT	SNOMEDCT:315563003	Residing in Zaire (finding)
Vietnam 	Vietnam 	snomedCT	SNOMEDCT:315559005	Residing in Vietnam (finding)
Luxembourg 	Luxembourg 	snomedCT	SNOMEDCT:315469002	Residing in Luxembourg (finding)
Panama 	Panama 	snomedCT	SNOMEDCT:315498003	Residing in Panama (finding)
Western Samoa 	Western Samoa 	snomedCT	SNOMEDCT:315561001	Residing in Western Samoa (finding)
Guyana 	Guyana 	snomedCT	SNOMEDCT:315438001	Residing in Guyana (finding)
Yemen 	Yemen 	snomedCT	SNOMEDCT:315590007	Residing in Yemen (finding)
Algeria 	Algeria 	snomedCT	SNOMEDCT:315367001	Residing in Algeria (finding)
Bahamas 	Bahamas 	snomedCT	SNOMEDCT:315377004	Residing in Bahamas (finding)
Romania 	Romania 	snomedCT	SNOMEDCT:315509001	Residing in Romania (finding)
Burma 	Burma 	snomedCT	SNOMEDCT:315394002	Residing in Burma (finding)
Iceland 	Iceland 	snomedCT	SNOMEDCT:315443008	Residing in Iceland (finding)
Tuvala 	Tuvala 	snomedCT	SNOMEDCT:315549009	Residing in Tuvala (finding)
China 	China 	snomedCT	SNOMEDCT:315404009	Residing in China (finding)
Azerbaijan 	Azerbaijan 	snomedCT	SNOMEDCT:315376008	Residing in Azerbaijan (finding)
Libya 	Libya 	snomedCT	SNOMEDCT:315466009	Residing in Libya (finding)
Sudan 	Sudan 	snomedCT	SNOMEDCT:315531009	Residing in Sudan (finding)
South Korea 	South Korea 	snomedCT	SNOMEDCT:315525006	Residing in South Korea (finding)
Russia 	Russia 	snomedCT	SNOMEDCT:315510006	Residing in Russia (finding)
Qatar 	Qatar 	snomedCT	SNOMEDCT:315506008	Residing in Qatar (finding)
Guatemala 	Guatemala 	snomedCT	SNOMEDCT:315435003	Residing in Guatemala (finding)
Latvia 	Latvia 	snomedCT	SNOMEDCT:315462006	Residing in Latvia (finding)
Greece 	Greece 	snomedCT	SNOMEDCT:315433005	Residing in Greece (finding)
Venezuela 	Venezuela 	snomedCT	SNOMEDCT:315558002	Residing in Venezuela (finding)
Namibia 	Namibia 	snomedCT	SNOMEDCT:315485007	Residing in Namibia (finding)
Kenya 	Kenya 	snomedCT	SNOMEDCT:315456001	Residing in Kenya (finding)
Tunisia 	Tunisia 	snomedCT	SNOMEDCT:315546002	Residing in Tunisia (finding)
Bangladesh 	Bangladesh 	snomedCT	SNOMEDCT:315379001	Residing in Bangladesh (finding)
Scotland 	Scotland 	snomedCT	SNOMEDCT:315515001	Residing in Scotland (finding)
Uruguay 	Uruguay 	snomedCT	SNOMEDCT:315554000	Residing in Uruguay (finding)
Morocco 	Morocco 	snomedCT	SNOMEDCT:315483000	Residing in Morocco (finding)
Jamaica 	Jamaica 	snomedCT	SNOMEDCT:315452004	Residing in Jamaica (finding)
Malawi 	Malawi 	snomedCT	SNOMEDCT:315471002	Residing in Malawi (finding)
Suriname 	Suriname 	snomedCT	SNOMEDCT:315532002	Residing in Suriname (finding)
The Netherlands 	The Netherlands 	snomedCT	SNOMEDCT:315542000	Residing in The Netherlands (finding)
Belgium 	Belgium 	snomedCT	SNOMEDCT:315381004	Residing in Belgium (finding)
