name	label	description	entity	dataType	idAttribute	labelAttribute	visible	nillable	refEntity	rangeMin	rangeMax
sampleprepid	Sample Preparation ID	Unique label or human-interpretable identifier for this Sample Preparation record	sampleprep	string	TRUE	TRUE	TRUE	FALSE			
amountofinputmaterialinng	Amount of input material in ng	AFRL_0000010	sampleprep	int	FALSE	FALSE	TRUE	TRUE		0	1000000000
librarypreparationkit	Library preparation kit used	GENEPIO:0000081	sampleprep	xref	FALSE	FALSE	TRUE	TRUE	fair-genomes_sampleprep_codebook_librarypreparationkit		
pcrfree	PCR-free	NCIT:C17003	sampleprep	bool	FALSE	FALSE	TRUE	TRUE			
targetenrichmentkit	Target enrichment kit used	NCIT:C154307	sampleprep	xref	FALSE	FALSE	TRUE	FALSE	fair-genomes_sampleprep_codebook_targetenrichmentkit		
umispresent	UMIs present	EFO:0010199	sampleprep	bool	FALSE	FALSE	TRUE	TRUE			
intendedinsertsize	Intended insert size	Semantic definition not available	sampleprep	int	FALSE	FALSE	TRUE	TRUE		0	1000000000
intendedreadlength	Intended read length	NCIT:C153362	sampleprep	int	FALSE	FALSE	TRUE	FALSE		0	1000000000
belongstomaterial	Belongs to Material record	Reference to a Material record to which this Sample Preparation information belongs	sampleprep	xref	FALSE	FALSE	TRUE	TRUE	fair-genomes_material		
