value_en	description_en	codesystem	code	description_code
Taiwan 	Taiwan 	snomedCT	SNOMEDCT:315537008	Ethnic origins in Taiwan (finding)
Zambia 	Zambia 	snomedCT	SNOMEDCT:315564009	Ethnic origins in Zambia (finding)
Burkina Faso 	Burkina Faso 	snomedCT	SNOMEDCT:315393008	Ethnic origins in Burkina Faso (finding)
Paraguay 	Paraguay 	snomedCT	SNOMEDCT:315500002	Ethnic origins in Paraguay (finding)
Kosovo 	Kosovo 	snomedCT	SNOMEDCT:315458000	Ethnic origins in Kosovo (finding)
Bosnia - Herzegovnia 	Bosnia - Herzegovnia 	snomedCT	SNOMEDCT:315387000	Ethnic origins in Bosnia - Herzegovnia (finding)
Cyprus 	Cyprus 	snomedCT	SNOMEDCT:315411008	Ethnic origins in Cyprus (finding)
Seychelles 	Seychelles 	snomedCT	SNOMEDCT:315517009	Ethnic origins in Seychelles (finding)
Antigua and Barbuda 	Antigua and Barbuda 	snomedCT	SNOMEDCT:315370002	Ethnic origins in Antigua and Barbuda (finding)
Kyrgyzstan 	Kyrgyzstan 	snomedCT	SNOMEDCT:315460003	Ethnic origins in Kyrgyzstan (finding)
Madagascar 	Madagascar 	snomedCT	SNOMEDCT:315470001	Ethnic origins in Madagascar (finding)
Columbia 	Columbia 	snomedCT	SNOMEDCT:315405005	Ethnic origins in Columbia (finding)
Nauru 	Nauru 	snomedCT	SNOMEDCT:315486008	Ethnic origins in Nauru (finding)
Uganda 	Uganda 	snomedCT	SNOMEDCT:315551008	Ethnic origins in Uganda (finding)
Sierra Leone 	Sierra Leone 	snomedCT	SNOMEDCT:315518004	Ethnic origins in Sierra Leone (finding)
Chile 	Chile 	snomedCT	SNOMEDCT:315403003	Ethnic origins in Chile (finding)
Gabon 	Gabon 	snomedCT	SNOMEDCT:315428006	Ethnic origins in Gabon (finding)
Norway 	Norway 	snomedCT	SNOMEDCT:315494001	Ethnic origins in Norway (finding)
St. Vincent 	St. Vincent 	snomedCT	SNOMEDCT:315530005	Ethnic origins in St. Vincent (finding)
Kazakhstan 	Kazakhstan 	snomedCT	SNOMEDCT:315455002	Ethnic origins in Kazakhstan (finding)
