value_en	description_en	codesystem	code	description_code
Cyprus 	Cyprus 	snomedCT	SNOMEDCT:315411008	Born in Cyprus (finding)
Seychelles 	Seychelles 	snomedCT	SNOMEDCT:315517009	Born in Seychelles (finding)
Antigua and Barbuda 	Antigua and Barbuda 	snomedCT	SNOMEDCT:315370002	Born in Antigua and Barbuda (finding)
Kyrgyzstan 	Kyrgyzstan 	snomedCT	SNOMEDCT:315460003	Born in Kyrgyzstan (finding)
Madagascar 	Madagascar 	snomedCT	SNOMEDCT:315470001	Born in Madagascar (finding)
Columbia 	Columbia 	snomedCT	SNOMEDCT:315405005	Born in Columbia (finding)
Nauru 	Nauru 	snomedCT	SNOMEDCT:315486008	Born in Nauru (finding)
Uganda 	Uganda 	snomedCT	SNOMEDCT:315551008	Born in Uganda (finding)
Sierra Leone 	Sierra Leone 	snomedCT	SNOMEDCT:315518004	Born in Sierra Leone (finding)
Chile 	Chile 	snomedCT	SNOMEDCT:315403003	Born in Chile (finding)
Gabon 	Gabon 	snomedCT	SNOMEDCT:315428006	Born in Gabon (finding)
Norway 	Norway 	snomedCT	SNOMEDCT:315494001	Born in Norway (finding)
St. Vincent 	St. Vincent 	snomedCT	SNOMEDCT:315530005	Born in St. Vincent (finding)
Kazakhstan 	Kazakhstan 	snomedCT	SNOMEDCT:315455002	Born in Kazakhstan (finding)
Grenada 	Grenada 	snomedCT	SNOMEDCT:315434004	Born in Grenada (finding)
Costa Rica 	Costa Rica 	snomedCT	SNOMEDCT:315408007	Born in Costa Rica (finding)
Nicaragua 	Nicaragua 	snomedCT	SNOMEDCT:315489001	Born in Nicaragua (finding)
El Salvador 	El Salvador 	snomedCT	SNOMEDCT:315420004	Born in El Salvador (finding)
Egypt 	Egypt 	snomedCT	SNOMEDCT:315419005	Born in Egypt (finding)
Cameroon 	Cameroon 	snomedCT	SNOMEDCT:315397009	Born in Cameroon (finding)
Somalia 	Somalia 	snomedCT	SNOMEDCT:315523004	Born in Somalia (finding)
Honduras 	Honduras 	snomedCT	SNOMEDCT:315440006	Born in Honduras (finding)
Zaire 	Zaire 	snomedCT	SNOMEDCT:315563003	Born in Zaire (finding)
Vietnam 	Vietnam 	snomedCT	SNOMEDCT:315559005	Born in Vietnam (finding)
Luxembourg 	Luxembourg 	snomedCT	SNOMEDCT:315469002	Born in Luxembourg (finding)
Panama 	Panama 	snomedCT	SNOMEDCT:315498003	Born in Panama (finding)
Western Samoa 	Western Samoa 	snomedCT	SNOMEDCT:315561001	Born in Western Samoa (finding)
Guyana 	Guyana 	snomedCT	SNOMEDCT:315438001	Born in Guyana (finding)
Yemen 	Yemen 	snomedCT	SNOMEDCT:315590007	Born in Yemen (finding)
Algeria 	Algeria 	snomedCT	SNOMEDCT:315367001	Born in Algeria (finding)
Bahamas 	Bahamas 	snomedCT	SNOMEDCT:315377004	Born in Bahamas (finding)
Romania 	Romania 	snomedCT	SNOMEDCT:315509001	Born in Romania (finding)
Burma 	Burma 	snomedCT	SNOMEDCT:315394002	Born in Burma (finding)
Iceland 	Iceland 	snomedCT	SNOMEDCT:315443008	Born in Iceland (finding)
Tuvala 	Tuvala 	snomedCT	SNOMEDCT:315549009	Born in Tuvala (finding)
China 	China 	snomedCT	SNOMEDCT:315404009	Born in China (finding)
Azerbaijan 	Azerbaijan 	snomedCT	SNOMEDCT:315376008	Born in Azerbaijan (finding)
Libya 	Libya 	snomedCT	SNOMEDCT:315466009	Born in Libya (finding)
Sudan 	Sudan 	snomedCT	SNOMEDCT:315531009	Born in Sudan (finding)
South Korea 	South Korea 	snomedCT	SNOMEDCT:315525006	Born in South Korea (finding)
Russia 	Russia 	snomedCT	SNOMEDCT:315510006	Born in Russia (finding)
Qatar 	Qatar 	snomedCT	SNOMEDCT:315506008	Born in Qatar (finding)
Guatemala 	Guatemala 	snomedCT	SNOMEDCT:315435003	Born in Guatemala (finding)
Latvia 	Latvia 	snomedCT	SNOMEDCT:315462006	Born in Latvia (finding)
Greece 	Greece 	snomedCT	SNOMEDCT:315433005	Born in Greece (finding)
Venezuela 	Venezuela 	snomedCT	SNOMEDCT:315558002	Born in Venezuela (finding)
Namibia 	Namibia 	snomedCT	SNOMEDCT:315485007	Born in Namibia (finding)
Kenya 	Kenya 	snomedCT	SNOMEDCT:315456001	Born in Kenya (finding)
Tunisia 	Tunisia 	snomedCT	SNOMEDCT:315546002	Born in Tunisia (finding)
Bangladesh 	Bangladesh 	snomedCT	SNOMEDCT:315379001	Born in Bangladesh (finding)
Scotland 	Scotland 	snomedCT	SNOMEDCT:315515001	Born in Scotland (finding)
Uruguay 	Uruguay 	snomedCT	SNOMEDCT:315554000	Born in Uruguay (finding)
Morocco 	Morocco 	snomedCT	SNOMEDCT:315483000	Born in Morocco (finding)
Jamaica 	Jamaica 	snomedCT	SNOMEDCT:315452004	Born in Jamaica (finding)
Malawi 	Malawi 	snomedCT	SNOMEDCT:315471002	Born in Malawi (finding)
Suriname 	Suriname 	snomedCT	SNOMEDCT:315532002	Born in Suriname (finding)
The Netherlands 	The Netherlands 	snomedCT	SNOMEDCT:315542000	Born in The Netherlands (finding)
Belgium 	Belgium 	snomedCT	SNOMEDCT:315381004	Born in Belgium (finding)
St. Kitts and Nevis 	St. Kitts and Nevis 	snomedCT	SNOMEDCT:315528008	Born in St. Kitts and Nevis (finding)
Uzbekistan 	Uzbekistan 	snomedCT	SNOMEDCT:315555004	Born in Uzbekistan (finding)
