codesystem	code	description_code	value_en	description_en
obo	obo:UBERON_0006198	dorsal intercostal artery	dorsal intercostal artery	dorsal intercostal artery
obo	obo:UBERON_0011964	calcaneocuboid joint	calcaneocuboid joint	calcaneocuboid joint
obo	obo:UBERON_0007770	osphradium	osphradium	osphradium
obo	obo:UBERON_0010945	jugulohyoideus muscle	jugulohyoideus muscle	jugulohyoideus muscle
obo	obo:UBERON_0001321	obturator vein	obturator vein	obturator vein
obo	obo:UBERON_0009876	UBERON_0009876	UBERON_0009876	UBERON_0009876
obo	obo:UBERON_0002919	anterior parolfactory sulcus	anterior parolfactory sulcus	anterior parolfactory sulcus
obo	obo:UBERON_0004619	lumbar vertebra 3	lumbar vertebra 3	lumbar vertebra 3
obo	obo:UBERON_0002224	thoracic cavity	thoracic cavity	thoracic cavity
obo	obo:UBERON_0000108	blastula stage	blastula stage	blastula stage
obo	obo:UBERON_3000405	pars inferior of labyrinth	pars inferior of labyrinth	pars inferior of labyrinth
obo	obo:UBERON_2000711	DEL	DEL	DEL
obo	obo:UBERON_0005826	gracile fasciculus of spinal cord	gracile fasciculus of spinal cord	gracile fasciculus of spinal cord
obo	obo:UBERON_0014720	interlobar duct	interlobar duct	interlobar duct
obo	obo:UBERON_0010290	scleral ossicle	scleral ossicle	scleral ossicle
obo	obo:UBERON_0001396	lateral thoracic artery	lateral thoracic artery	lateral thoracic artery
obo	obo:UBERON_0003096	middle lateral line	middle lateral line	middle lateral line
obo	obo:UBERON_4300106	ventral limb of posttemporal	ventral limb of posttemporal	ventral limb of posttemporal
obo	obo:UBERON_6001756	larval abdominal segment 9	larval abdominal segment 9	larval abdominal segment 9
obo	obo:UBERON_0008779	subclavius	subclavius	subclavius
obo	obo:UBERON_0004162	pulmonary myocardium	pulmonary myocardium	pulmonary myocardium
obo	obo:UBERON_0015162	superior branch of oculomotor nerve	superior branch of oculomotor nerve	superior branch of oculomotor nerve
obo	obo:UBERON_1000008	left part of face	left part of face	left part of face
obo	obo:UBERON_0001517	skin of elbow	skin of elbow	skin of elbow
